datetime_id,randseed,trial,Vmin,threshold,H,run_time,dozer_x,dozer_y,dozer_Qs,dozer_Qs_tot,washover_V_D,washover_V_ND,washover_A_D,washover_A_ND,lateral_disp,danger_score,crest_mu_D,crest_mu_ND,pulse_time
20250602-132120,19680807,16651,0.02,0.04,4,0.0,480,540,0.0,0.0,0.457,0.457,50.0,50.0,0.0,0,0.0,0.0,0.0
20250602-132120,19680807,16651,0.02,0.04,4,2.52,480,540,0.0,0.0,0.457,0.457,50.0,50.0,0.0,0,0.0,0.0,0.0
20250602-132120,19680807,16651,0.02,0.04,4,5.02,437,274,0.0,0.0,1.011,1.011,110.0,110.0,0.0,10,1.0,1.0,3.3
20250602-132120,19680807,16651,0.02,0.04,4,7.51,415,175,0.0,0.068,1.011,1.011,110.0,110.0,0.0,10,1.0,1.0,3.3
20250602-132120,19680807,16651,0.02,0.04,4,10.03,641,121,0.333,0.068,2.276,2.358,154.0,157.0,0.0,15,2.0,2.0,9.61
20250602-132120,19680807,16651,0.02,0.04,4,12.53,656,92,0.305,0.858,2.276,2.358,154.0,157.0,0.0,15,2.0,2.0,9.61
20250602-132120,19680807,16651,0.02,0.04,4,15.04,622,86,0.251,1.421,3.373,4.216,198.0,201.0,0.02,24,4.0,4.0,14.97
20250602-132120,19680807,16651,0.02,0.04,4,17.54,656,131,0.492,2.034,3.373,4.216,198.0,201.0,0.02,24,4.0,4.0,14.97
20250602-132120,19680807,16651,0.02,0.04,4,20.05,685,151,0.106,3.034,3.373,4.216,198.0,201.0,0.02,24,3.0,4.0,14.97
20250602-132120,19680807,16651,0.02,0.04,4,22.55,766,251,0.0,4.034,3.373,4.216,198.0,201.0,0.02,24,3.0,4.0,14.97
20250602-132120,19680807,16651,0.02,0.04,4,25.06,496,191,0.177,4.034,5.021,6.283,315.0,233.0,0.0,28,4.0,5.0,23.51
20250602-132120,19680807,16651,0.02,0.04,4,27.56,198,62,1.0,4.034,5.021,6.283,315.0,233.0,0.0,28,4.0,5.0,23.51
20250602-132120,19680807,16651,0.02,0.04,4,30.07,179,232,0.336,5.034,5.021,6.283,315.0,233.0,0.0,26,3.0,5.0,23.51
20250602-132120,19680807,16651,0.02,0.04,4,32.57,167,224,0.0,6.034,3.092,6.283,238.0,233.0,0.087,19,3.0,5.0,23.51
20250602-132120,19680807,16651,0.02,0.04,4,35.08,144,69,0.0,7.034,5.103,8.46,346.0,258.0,0.0,30,3.0,6.0,32.9
20250602-132120,19680807,16651,0.02,0.04,4,37.59,188,113,0.446,7.034,7.115,10.839,494.0,285.0,0.0,40,5.0,8.0,37.51
20250602-132120,19680807,16651,0.02,0.04,4,40.09,170,82,0.643,8.034,7.115,10.839,494.0,285.0,0.0,40,4.0,8.0,37.51
20250602-132120,19680807,16651,0.02,0.04,4,42.59,159,252,0.045,9.034,7.115,10.839,494.0,285.0,0.0,40,4.0,8.0,37.51
20250602-132120,19680807,16651,0.02,0.04,4,45.09,427,62,1.0,9.034,7.115,10.839,494.0,285.0,0.0,40,4.0,8.0,37.51
20250602-132120,19680807,16651,0.02,0.04,4,47.6,412,85,0.911,10.034,8.187,13.307,466.0,299.0,0.044,39,8.0,9.0,46.03
20250602-132120,19680807,16651,0.02,0.04,4,50.1,440,305,0.094,11.034,8.187,13.307,466.0,299.0,0.044,39,8.0,9.0,46.03
20250602-132120,19680807,16651,0.02,0.04,4,52.6,218,72,0.0,12.034,8.187,13.307,466.0,299.0,0.044,38,7.000000000000001,9.0,46.03
20250602-132120,19680807,16651,0.02,0.04,4,55.11,235,66,1.0,12.034,5.781,13.307,377.0,299.0,0.482,38,7.000000000000001,9.0,46.03
20250602-132120,19680807,16651,0.02,0.04,4,57.61,240,198,0.38,13.034,13.741,15.88,728.0,310.0,0.513,38,7.000000000000001,11.0,55.33
20250602-132120,19680807,16651,0.02,0.04,4,60.12,158,229,0.0,14.034,13.741,15.88,728.0,310.0,0.513,30,6.0,11.0,55.33
20250602-132120,19680807,16651,0.02,0.04,4,62.63,75,196,0.0,15.034,13.952,18.522,734.0,318.0,0.232,33,10.0,13.0,60.72
20250602-132120,19680807,16651,0.02,0.04,4,65.14,178,158,0.0,16.034,13.952,18.522,734.0,318.0,0.232,33,9.0,13.0,60.72
20250602-132120,19680807,16651,0.02,0.04,4,67.65,357,198,0.148,16.034,18.389,21.273,834.0,333.0,0.155,53,12.0,14.000000000000002,66.33
20250602-132120,19680807,16651,0.02,0.04,4,70.15,597,70,0.0,17.034,17.389,21.273,792.0,333.0,0.155,53,12.0,14.000000000000002,66.33
20250602-132120,19680807,16651,0.02,0.04,4,72.64,621,81,0.0,18.034,22.713,24.17,900.0,354.0,0.163,51,12.0,16.0,70.53
20250602-132120,19680807,16651,0.02,0.04,4,75.15,667,114,1.0,18.034,23.988,27.047,898.0,370.0,0.177,51,15.0,18.0,74.0
20250602-132120,19680807,16651,0.02,0.04,4,77.65,706,148,0.706,19.034,23.988,27.047,898.0,370.0,0.177,50,15.0,18.0,74.0
20250602-132120,19680807,16651,0.02,0.04,4,80.16,698,62,0.0,21.034,23.988,27.047,898.0,370.0,0.177,50,14.000000000000002,18.0,74.0
20250602-132120,19680807,16651,0.02,0.04,4,82.68,671,169,0.253,21.034,23.988,27.047,898.0,370.0,0.177,50,14.000000000000002,18.0,74.0
20250602-132120,19680807,16651,0.02,0.04,4,85.17,639,262,0.0,22.034,26.079,30.205,910.0,389.0,0.152,76,18.0,20.0,83.84
20250602-132120,19680807,16651,0.02,0.04,4,87.68,462,71,0.0,23.034,26.079,30.205,910.0,389.0,0.152,79,18.0,20.0,83.84
20250602-132120,19680807,16651,0.02,0.04,4,90.19,478,199,0.0,24.034,34.03,33.316,1016.0,406.0,0.135,97,20.0,22.0,90.08
20250602-132120,19680807,16651,0.02,0.04,4,92.69,474,212,0.0,25.034,34.03,33.316,1016.0,406.0,0.135,97,20.0,22.0,90.08
20250602-132120,19680807,16651,0.02,0.04,4,94.45,457,83,0.0,26.034,38.092,36.654,1024.0,418.0,0.191,100,21.0,24.0,94.45
